Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
1/11/2024 7:00,"1,266 W",720 W,383 W,163 W
1/11/2024 8:00,945 W,520 W,308 W,117 W
1/11/2024 9:00,"1,481 W",465 W,909 W,107 W
1/11/2024 10:00,763 W,262 W,396 W,105 W
1/11/2024 11:00,"2,130 W",748 W,"1,279 W",103 W
1/11/2024 12:00,"1,975 W",394 W,"1,478 W",103 W
1/11/2024 13:00,"1,120 W",638 W,378 W,104 W
1/11/2024 14:00,"1,107 W",694 W,312 W,101 W
1/11/2024 15:00,"1,151 W",703 W,344 W,104 W
1/11/2024 16:00,765 W,393 W,265 W,107 W
1/11/2024 17:00,"1,433 W",377 W,929 W,127 W
1/11/2024 18:00,"1,345 W",323 W,840 W,182 W
1/11/2024 19:00,"1,027 W",550 W,293 W,184 W
1/11/2024 20:00,841 W,345 W,311 W,185 W
1/11/2024 21:00,960 W,485 W,288 W,187 W
1/11/2024 22:00,"1,067 W",611 W,271 W,185 W
1/11/2024 23:00,840 W,378 W,276 W,186 W
1/12/2024 0:00,833 W,368 W,279 W,186 W
1/12/2024 1:00,"1,147 W",543 W,415 W,189 W
1/12/2024 2:00,748 W,262 W,297 W,189 W
1/12/2024 3:00,783 W,262 W,332 W,189 W
1/12/2024 4:00,948 W,376 W,382 W,190 W
1/12/2024 5:00,829 W,255 W,386 W,188 W
1/12/2024 6:00,"1,123 W",488 W,450 W,185 W
1/12/2024 7:00,758 W,223 W,381 W,154 W
1/12/2024 8:00,704 W,343 W,247 W,114 W
1/12/2024 9:00,559 W,208 W,245 W,106 W
1/12/2024 10:00,816 W,469 W,244 W,103 W
1/12/2024 11:00,581 W,218 W,257 W,106 W
1/12/2024 12:00,730 W,358 W,264 W,108 W
1/12/2024 13:00,610 W,236 W,267 W,107 W
1/12/2024 14:00,603 W,221 W,275 W,107 W
1/12/2024 15:00,892 W,472 W,313 W,107 W
1/12/2024 16:00,589 W,271 W,202 W,116 W
1/12/2024 17:00,866 W,459 W,280 W,127 W
1/12/2024 18:00,"1,039 W",457 W,400 W,182 W
1/12/2024 19:00,694 W,236 W,276 W,182 W
1/12/2024 20:00,858 W,358 W,318 W,182 W
1/12/2024 21:00,727 W,254 W,292 W,181 W
1/12/2024 22:00,759 W,249 W,326 W,184 W
1/12/2024 23:00,863 W,381 W,298 W,184 W
1/13/2024 0:00,935 W,367 W,384 W,184 W
1/13/2024 1:00,"1,613 W","1,042 W",387 W,184 W
1/13/2024 2:00,971 W,490 W,296 W,185 W
1/13/2024 3:00,903 W,409 W,309 W,185 W
1/13/2024 4:00,966 W,474 W,308 W,184 W
1/13/2024 5:00,852 W,366 W,302 W,184 W
1/13/2024 6:00,"1,065 W",530 W,354 W,181 W
1/13/2024 7:00,659 W,228 W,289 W,142 W
1/13/2024 8:00,815 W,382 W,322 W,111 W
1/13/2024 9:00,709 W,261 W,344 W,104 W
1/13/2024 10:00,"1,257 W",223 W,931 W,103 W
1/13/2024 11:00,731 W,365 W,262 W,104 W
1/13/2024 12:00,"1,927 W",604 W,"1,211 W",112 W
1/13/2024 13:00,743 W,272 W,362 W,109 W
1/13/2024 14:00,626 W,238 W,280 W,108 W
1/13/2024 15:00,"1,976 W",858 W,"1,012 W",106 W
1/13/2024 16:00,973 W,489 W,379 W,105 W
1/13/2024 17:00,"1,551 W",511 W,914 W,126 W
1/13/2024 18:00,808 W,395 W,232 W,181 W
1/13/2024 19:00,809 W,359 W,269 W,181 W
1/13/2024 20:00,637 W,222 W,233 W,182 W
1/13/2024 21:00,651 W,222 W,245 W,184 W
1/13/2024 22:00,748 W,232 W,332 W,184 W
1/13/2024 23:00,662 W,235 W,243 W,184 W
1/14/2024 0:00,669 W,239 W,245 W,185 W
1/14/2024 1:00,709 W,247 W,277 W,185 W
1/14/2024 2:00,813 W,363 W,266 W,184 W
1/14/2024 3:00,"1,036 W",372 W,479 W,185 W
1/14/2024 4:00,"1,260 W",713 W,363 W,184 W
1/14/2024 5:00,"1,023 W",576 W,263 W,184 W
1/14/2024 6:00,"1,122 W",345 W,594 W,183 W
1/14/2024 7:00,711 W,324 W,244 W,143 W
1/14/2024 8:00,757 W,422 W,224 W,111 W
