Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/10 5:00:00,683 W,195 W,301 W,187 W
2024/1/10 6:00:00,766 W,299 W,285 W,182 W
2024/1/10 7:00:00,515 W,71 W,301 W,143 W
2024/1/10 8:00:00,959 W,595 W,253 W,111 W
2024/1/10 9:00:00,"1,184 W",782 W,297 W,105 W
2024/1/10 10:00:00,"1,610 W",429 W,294 W,887 W
2024/1/10 11:00:00,"2,256 W",171 W,"1,228 W",857 W
2024/1/10 12:00:00,"2,363 W",970 W,522 W,871 W
2024/1/10 13:00:00,"1,788 W",404 W,499 W,885 W
2024/1/10 14:00:00,"1,831 W",484 W,824 W,523 W
2024/1/10 15:00:00,"1,548 W",358 W,668 W,522 W
2024/1/10 16:00:00,"1,142 W",383 W,654 W,105 W
2024/1/10 17:00:00,"1,312 W",864 W,320 W,128 W
2024/1/10 18:00:00,"1,188 W",408 W,599 W,181 W
2024/1/10 19:00:00,"1,055 W",583 W,288 W,184 W
2024/1/10 20:00:00,787 W,312 W,293 W,182 W
2024/1/10 21:00:00,844 W,369 W,290 W,185 W
2024/1/10 22:00:00,816 W,340 W,291 W,185 W
2024/1/10 23:00:00,"1,266 W",677 W,403 W,186 W
2024/1/11 0:00:00,929 W,375 W,367 W,187 W
2024/1/11 1:00:00,"1,165 W",408 W,568 W,189 W
2024/1/11 2:00:00,"1,151 W",648 W,313 W,190 W
2024/1/11 3:00:00,918 W,385 W,344 W,189 W
2024/1/11 4:00:00,"1,317 W",807 W,320 W,190 W
2024/1/11 5:00:00,883 W,380 W,315 W,188 W
2024/1/11 6:00:00,964 W,465 W,314 W,185 W
2024/1/11 7:00:00,"1,266 W",720 W,383 W,163 W
2024/1/11 8:00:00,945 W,520 W,308 W,117 W
2024/1/11 9:00:00,"1,481 W",465 W,909 W,107 W
2024/1/11 10:00:00,763 W,262 W,396 W,105 W
2024/1/11 11:00:00,"2,130 W",748 W,"1,279 W",103 W
2024/1/11 12:00:00,"1,975 W",394 W,"1,478 W",103 W
