Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/17 16:00:00,"3,465 W",551 W,216 W,"2,698 W"
2024/1/17 17:00:00,957 W,381 W,211 W,365 W
2024/1/17 18:00:00,"3,246 W",368 W,214 W,"2,664 W"
2024/1/17 19:00:00,"3,597 W",378 W,218 W,"3,001 W"
2024/1/17 20:00:00,"3,932 W",382 W,221 W,"3,329 W"
2024/1/17 21:00:00,"1,060 W",387 W,216 W,457 W
2024/1/17 22:00:00,"1,078 W",391 W,219 W,468 W
2024/1/17 23:00:00,"1,083 W",396 W,223 W,464 W
2024/1/18 0:00:00,"1,121 W",401 W,246 W,474 W
2024/1/18 1:00:00,"1,133 W",402 W,263 W,468 W
2024/1/18 2:00:00,"1,135 W",405 W,262 W,468 W
2024/1/18 3:00:00,"1,131 W",405 W,254 W,472 W
2024/1/18 4:00:00,"1,145 W",405 W,270 W,470 W
2024/1/18 5:00:00,"1,126 W",409 W,251 W,466 W
2024/1/18 6:00:00,"3,481 W",447 W,308 W,"2,726 W"
2024/1/18 7:00:00,"1,619 W",379 W,222 W,"1,018 W"
2024/1/18 8:00:00,"4,175 W",480 W,605 W,"3,090 W"
2024/1/18 9:00:00,"5,677 W",735 W,"1,665 W","3,277 W"
2024/1/18 10:00:00,"6,433 W","1,641 W","1,417 W","3,375 W"
2024/1/18 11:00:00,"5,763 W",911 W,"1,562 W","3,290 W"
2024/1/18 12:00:00,"5,123 W",643 W,"1,118 W","3,362 W"
2024/1/18 13:00:00,"4,123 W",602 W,229 W,"3,292 W"
2024/1/18 14:00:00,"4,214 W",575 W,367 W,"3,272 W"
2024/1/18 15:00:00,"4,239 W",555 W,278 W,"3,406 W"
2024/1/18 16:00:00,"2,094 W",541 W,403 W,"1,150 W"
2024/1/18 17:00:00,"1,665 W",419 W,200 W,"1,046 W"
2024/1/18 18:00:00,"3,761 W",469 W,166 W,"3,126 W"
2024/1/18 19:00:00,"4,013 W",470 W,163 W,"3,380 W"
2024/1/18 20:00:00,"4,031 W",475 W,174 W,"3,382 W"
2024/1/18 21:00:00,"1,149 W",472 W,170 W,507 W
2024/1/18 22:00:00,"1,164 W",480 W,174 W,510 W
2024/1/18 23:00:00,"1,166 W",479 W,175 W,512 W
2024/1/19 0:00:00,"1,176 W",486 W,177 W,513 W
2024/1/19 1:00:00,"1,199 W",485 W,199 W,515 W
2024/1/19 2:00:00,"1,217 W",492 W,204 W,521 W
2024/1/19 3:00:00,"1,217 W",491 W,196 W,530 W
2024/1/19 4:00:00,"1,210 W",494 W,197 W,519 W
2024/1/19 5:00:00,"1,203 W",488 W,201 W,514 W
2024/1/19 6:00:00,"2,797 W",530 W,258 W,"2,009 W"
2024/1/19 7:00:00,"1,396 W",460 W,168 W,768 W
2024/1/19 8:00:00,"4,434 W",876 W,535 W,"3,023 W"
2024/1/19 9:00:00,"4,793 W",884 W,461 W,"3,448 W"
2024/1/19 10:00:00,"6,316 W","1,357 W",443 W,"4,516 W"
2024/1/19 11:00:00,"6,049 W","1,395 W",217 W,"4,437 W"
2024/1/19 12:00:00,"5,276 W",610 W,216 W,"4,450 W"
2024/1/19 13:00:00,"5,221 W",621 W,225 W,"4,375 W"
2024/1/19 14:00:00,"5,240 W",527 W,274 W,"4,439 W"
2024/1/19 15:00:00,"3,620 W",525 W,270 W,"2,825 W"
2024/1/19 16:00:00,"1,327 W",526 W,248 W,553 W
2024/1/19 17:00:00,"1,013 W",448 W,193 W,372 W
2024/1/19 18:00:00,988 W,431 W,188 W,369 W
2024/1/19 19:00:00,"3,625 W",446 W,189 W,"2,990 W"
2024/1/19 20:00:00,"4,114 W",461 W,196 W,"3,457 W"
2024/1/19 21:00:00,"1,231 W",449 W,190 W,592 W
2024/1/19 22:00:00,"1,250 W",459 W,193 W,598 W
2024/1/19 23:00:00,"1,256 W",457 W,201 W,598 W
2024/1/20 0:00:00,"1,293 W",467 W,216 W,610 W
2024/1/20 1:00:00,"1,298 W",466 W,225 W,607 W
2024/1/20 2:00:00,"1,276 W",466 W,207 W,603 W
2024/1/20 3:00:00,"1,310 W",472 W,220 W,618 W
2024/1/20 4:00:00,"1,315 W",469 W,232 W,614 W
2024/1/20 5:00:00,"2,496 W",491 W,314 W,"1,691 W"
2024/1/20 6:00:00,"2,435 W",449 W,305 W,"1,681 W"
