Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/19 14:00:00,626 W,39 W,389 W,198 W
2024/1/19 15:00:00,288 W,44 W,82 W,162 W
2024/1/19 16:00:00,"1,104 W",1 W,84 W,"1,019 W"
2024/1/19 17:00:00,120 W,1 W,88 W,31 W
2024/1/19 18:00:00,146 W,0 W,113 W,33 W
2024/1/19 19:00:00,183 W,1 W,176 W,6 W
2024/1/19 20:00:00,188 W,2 W,179 W,7 W
2024/1/19 21:00:00,188 W,1 W,181 W,6 W
2024/1/19 22:00:00,190 W,1 W,184 W,5 W
2024/1/19 23:00:00,191 W,2 W,183 W,6 W
2024/1/20 0:00:00,223 W,2 W,189 W,32 W
2024/1/20 1:00:00,225 W,1 W,192 W,32 W
2024/1/20 2:00:00,227 W,2 W,191 W,34 W
2024/1/20 3:00:00,230 W,2 W,193 W,35 W
2024/1/20 4:00:00,"1,296 W",2 W,193 W,"1,101 W"
2024/1/20 5:00:00,199 W,2 W,191 W,6 W
2024/1/20 6:00:00,197 W,2 W,189 W,6 W
2024/1/20 7:00:00,"1,123 W",1 W,115 W,"1,007 W"
2024/1/20 8:00:00,98 W,1 W,84 W,13 W
2024/1/20 9:00:00,88 W,1 W,80 W,7 W
2024/1/20 10:00:00,91 W,1 W,84 W,6 W
2024/1/20 11:00:00,91 W,1 W,85 W,5 W
2024/1/20 12:00:00,"1,041 W",1 W,85 W,955 W
2024/1/20 13:00:00,89 W,1 W,83 W,5 W
2024/1/20 14:00:00,89 W,1 W,82 W,6 W
2024/1/20 15:00:00,92 W,1 W,85 W,6 W
2024/1/20 16:00:00,94 W,1 W,87 W,6 W
2024/1/20 17:00:00,"1,043 W",2 W,87 W,954 W
2024/1/20 18:00:00,179 W,1 W,172 W,6 W
2024/1/20 19:00:00,"1,230 W",1 W,204 W,"1,025 W"
2024/1/20 20:00:00,218 W,1 W,211 W,6 W
2024/1/20 21:00:00,216 W,2 W,209 W,5 W
2024/1/20 22:00:00,"1,262 W",1 W,214 W,"1,047 W"
2024/1/20 23:00:00,249 W,2 W,215 W,32 W
2024/1/21 0:00:00,260 W,2 W,223 W,35 W
2024/1/21 1:00:00,"1,267 W",2 W,221 W,"1,044 W"
2024/1/21 2:00:00,232 W,1 W,224 W,7 W
2024/1/21 3:00:00,232 W,2 W,224 W,6 W
2024/1/21 4:00:00,231 W,2 W,222 W,7 W
2024/1/21 5:00:00,135 W,1 W,128 W,6 W
2024/1/21 6:00:00,"1,132 W",1 W,122 W,"1,009 W"
2024/1/21 7:00:00,114 W,1 W,107 W,6 W
2024/1/21 8:00:00,87 W,1 W,80 W,6 W
2024/1/21 9:00:00,992 W,1 W,125 W,866 W
2024/1/21 10:00:00,321 W,50 W,90 W,181 W
2024/1/21 11:00:00,"1,526 W",37 W,409 W,"1,080 W"
2024/1/21 12:00:00,"1,104 W",804 W,121 W,179 W
2024/1/21 13:00:00,489 W,37 W,272 W,180 W
2024/1/21 14:00:00,"1,052 W",778 W,95 W,179 W
2024/1/21 15:00:00,290 W,44 W,66 W,180 W
2024/1/21 16:00:00,"1,020 W",2 W,65 W,953 W
2024/1/21 17:00:00,75 W,1 W,69 W,5 W
2024/1/21 18:00:00,196 W,1 W,189 W,6 W
2024/1/21 19:00:00,"1,097 W",1 W,192 W,904 W
2024/1/21 20:00:00,235 W,1 W,228 W,6 W
2024/1/21 21:00:00,233 W,1 W,226 W,6 W
2024/1/21 22:00:00,207 W,1 W,200 W,6 W
2024/1/21 23:00:00,210 W,1 W,203 W,6 W
2024/1/22 0:00:00,"1,276 W",1 W,206 W,"1,069 W"
2024/1/22 1:00:00,213 W,1 W,206 W,6 W
2024/1/22 2:00:00,238 W,1 W,206 W,31 W
2024/1/22 3:00:00,"1,264 W",2 W,206 W,"1,056 W"
2024/1/22 4:00:00,239 W,1 W,206 W,32 W
2024/1/22 5:00:00,239 W,1 W,206 W,32 W
2024/1/22 6:00:00,139 W,1 W,107 W,31 W
2024/1/22 7:00:00,107 W,2 W,98 W,7 W
2024/1/22 8:00:00,"1,047 W",1 W,119 W,927 W
2024/1/22 9:00:00,230 W,2 W,80 W,148 W
2024/1/22 10:00:00,"1,903 W",39 W,671 W,"1,193 W"
2024/1/22 11:00:00,"2,753 W",792 W,"1,605 W",356 W
2024/1/22 12:00:00,"2,331 W",797 W,"1,179 W",355 W
