,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
28,545.0,732.0,622.0,818.0,845.0,896.0,774.0,559.0,654.0,1872.0,1473.0,1663.0,1427.0,1105.0,1642.0,617.0,856.0,555.0,777.0,736.0,635.0,746.0,669.0,801.0
29,696.0,889.0,822.0,995.0,777.0,851.0,699.0,717.0,584.0,585.0,438.0,474.0,821.0,553.0,481.0,1404.0,932.0,790.0,593.0,529.0,642.0,553.0,1428.0,672.0
30,715.0,758.0,686.0,563.0,749.0,754.0,1034.0,720.0,775.0,696.0,2175.0,2423.0,3313.0,2312.0,2761.0,510.0,556.0,528.0,657.0,654.0,734.0,532.0,676.0,605.0
31,720.0,773.0,1097.0,802.0,824.0,727.0,544.0,801.0,620.0,740.0,1392.0,1641.0,1630.0,2314.0,1365.0,1175.0,1292.0,601.0,950.0,576.0,624.0,914.0,1022.0,789.0
32,776.0,846.0,904.0,840.0,1016.0,611.0,607.0,507.0,1147.0,1263.0,561.0,1153.0,1864.0,1693.0,1244.0,979.0,564.0,644.0,1374.0,761.0,1041.0,750.0,1166.0,785.0
33,889.0,680.0,793.0,604.0,803.0,788.0,1062.0,620.0,627.0,1718.0,1802.0,1600.0,1781.0,931.0,1688.0,1534.0,486.0,592.0,662.0,780.0,828.0,746.0,719.0,666.0
34,597.0,832.0,624.0,716.0,598.0,781.0,773.0,605.0,458.0,1790.0,2048.0,1194.0,2076.0,2804.0,1863.0,1150.0,519.0,459.0,784.0,644.0,564.0,543.0,612.0,559.0
35,887.0,566.0,492.0,453.0,637.0,545.0,558.0,638.0,659.0,1541.0,1674.0,1109.0,2530.0,954.0,813.0,1376.0,2506.0,2469.0,633.0,1004.0,493.0,667.0,711.0,568.0
36,874.0,494.0,592.0,477.0,686.0,753.0,785.0,665.0,606.0,590.0,854.0,580.0,480.0,491.0,716.0,500.0,545.0,418.0,447.0,448.0,595.0,548.0,618.0,472.0
37,600.0,535.0,656.0,519.0,894.0,707.0,1011.0,1040.0,618.0,1278.0,1211.0,1267.0,1751.0,2042.0,1601.0,602.0,587.0,527.0,630.0,698.0,617.0,649.0,615.0,636.0
38,803.0,789.0,815.0,767.0,707.0,635.0,946.0,730.0,480.0,702.0,2020.0,1592.0,576.0,734.0,463.0,461.0,374.0,415.0,610.0,805.0,562.0,611.0,948.0,699.0
39,611.0,599.0,717.0,480.0,593.0,585.0,818.0,872.0,403.0,1315.0,1546.0,1623.0,1587.0,2061.0,1263.0,1433.0,631.0,898.0,733.0,774.0,564.0,1099.0,576.0,794.0
40,1473.0,1029.0,1217.0,1151.0,1250.0,1300.0,1253.0,1072.0,1131.0,954.0,1106.0,1035.0,1232.0,913.0,1347.0,1626.0,1082.0,1128.0,1254.0,1228.0,972.0,1156.0,1097.0,1060.0
41,953.0,1039.0,944.0,1149.0,949.0,832.0,1011.0,814.0,1033.0,993.0,1021.0,886.0,997.0,2107.0,1386.0,1185.0,1136.0,879.0,1027.0,881.0,1091.0,997.0,1179.0,1061.0
42,936.0,943.0,1137.0,1018.0,1109.0,1060.0,1242.0,1106.0,1108.0,1033.0,658.0,1612.0,1716.0,462.0,653.0,1181.0,1067.0,1001.0,988.0,937.0,1128.0,968.0,1008.0,932.0
43,589.0,528.0,796.0,700.0,489.0,1063.0,871.0,905.0,554.0,686.0,378.0,681.0,412.0,545.0,316.0,644.0,422.0,524.0,687.0,573.0,902.0,763.0,487.0,612.0
44,747.0,706.0,608.0,551.0,588.0,632.0,688.0,522.0,435.0,1617.0,530.0,823.0,817.0,496.0,521.0,748.0,700.0,482.0,851.0,893.0,871.0,1027.0,566.0,847.0
45,558.0,909.0,626.0,647.0,738.0,1005.0,685.0,551.0,555.0,783.0,611.0,2865.0,2278.0,2258.0,1852.0,783.0,463.0,647.0,979.0,573.0,884.0,825.0,902.0,855.0
46,740.0,615.0,834.0,829.0,711.0,615.0,586.0,464.0,582.0,507.0,676.0,831.0,1091.0,676.0,786.0,1786.0,1187.0,790.0,579.0,745.0,496.0,603.0,577.0,607.0
47,604.0,517.0,1055.0,591.0,674.0,807.0,607.0,553.0,835.0,503.0,599.0,1159.0,446.0,761.0,1228.0,902.0,532.0,505.0,446.0,462.0,533.0,484.0,737.0,628.0
48,864.0,800.0,1593.0,726.0,617.0,695.0,796.0,763.0,623.0,1529.0,665.0,617.0,886.0,946.0,619.0,587.0,518.0,609.0,628.0,493.0,552.0,733.0,738.0,620.0
49,969.0,651.0,580.0,551.0,723.0,682.0,492.0,661.0,480.0,1370.0,1372.0,597.0,625.0,529.0,524.0,936.0,415.0,606.0,559.0,994.0,580.0,712.0,715.0,992.0
50,732.0,731.0,631.0,795.0,694.0,695.0,609.0,380.0,501.0,474.0,514.0,1339.0,581.0,565.0,562.0,616.0,488.0,391.0,600.0,557.0,730.0,794.0,891.0,630.0
51,562.0,494.0,631.0,883.0,659.0,715.0,565.0,583.0,574.0,1348.0,481.0,406.0,416.0,658.0,740.0,594.0,678.0,840.0,634.0,588.0,569.0,1084.0,562.0,487.0
52,582.0,576.0,678.0,499.0,472.0,819.0,579.0,584.0,370.0,1236.0,654.0,763.0,791.0,787.0,533.0,610.0,470.0,618.0,669.0,901.0,777.0,1003.0,577.0,802.0
53,726.0,732.0,638.0,481.0,725.0,506.0,878.0,504.0,567.0,590.0,2956.0,2121.0,2371.0,1633.0,962.0,582.0,638.0,821.0,666.0,686.0,523.0,687.0,829.0,694.0
54,696.0,923.0,820.0,993.0,915.0,1051.0,1063.0,867.0,693.0,1261.0,1339.0,3401.0,2112.0,1111.0,2698.0,931.0,846.0,507.0,1110.0,721.0,624.0,681.0,1025.0,696.0
55,680.0,676.0,682.0,915.0,2018.0,910.0,1206.0,1483.0,467.0,831.0,1788.0,1990.0,1365.0,1673.0,1568.0,1391.0,821.0,732.0,682.0,522.0,668.0,543.0,862.0,784.0
