Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
1/20/2024 7:00,101 W,73 W,7 W,21 W
1/20/2024 8:00,115 W,92 W,6 W,17 W
1/20/2024 9:00,105 W,83 W,6 W,16 W
1/20/2024 10:00,114 W,89 W,7 W,18 W
1/20/2024 11:00,298 W,85 W,25 W,188 W
1/20/2024 12:00,298 W,81 W,25 W,192 W
1/20/2024 13:00,89 W,78 W,6 W,5 W
1/20/2024 14:00,560 W,478 W,64 W,18 W
1/20/2024 15:00,"1,041 W",945 W,68 W,28 W
1/20/2024 16:00,561 W,493 W,66 W,2 W
1/20/2024 17:00,561 W,493 W,66 W,2 W
1/20/2024 18:00,"1,072 W",941 W,112 W,19 W
1/20/2024 19:00,692 W,513 W,160 W,19 W
1/20/2024 20:00,160 W,92 W,50 W,18 W
1/20/2024 21:00,156 W,89 W,50 W,17 W
1/20/2024 22:00,161 W,91 W,51 W,19 W
1/20/2024 23:00,161 W,90 W,51 W,20 W
1/21/2024 0:00,158 W,86 W,52 W,20 W
1/21/2024 1:00,157 W,86 W,52 W,19 W
1/21/2024 2:00,148 W,77 W,52 W,19 W
1/21/2024 3:00,143 W,72 W,52 W,19 W
1/21/2024 4:00,160 W,90 W,51 W,19 W
1/21/2024 5:00,155 W,84 W,52 W,19 W
1/21/2024 6:00,106 W,96 W,7 W,3 W
1/21/2024 7:00,100 W,93 W,6 W,1 W
1/21/2024 8:00,177 W,98 W,88 W,-9 W
1/21/2024 9:00,365 W,120 W,88 W,157 W
1/21/2024 10:00,870 W,571 W,91 W,208 W
1/21/2024 11:00,910 W,185 W,93 W,632 W
1/21/2024 12:00,"2,137 W",567 W,888 W,682 W
1/21/2024 13:00,"1,748 W",578 W,144 W,"1,026 W"
1/21/2024 14:00,852 W,649 W,99 W,104 W
1/21/2024 15:00,"1,009 W",787 W,43 W,179 W
1/21/2024 16:00,"1,425 W",608 W,789 W,28 W
1/21/2024 17:00,"1,389 W",532 W,843 W,14 W
1/21/2024 18:00,873 W,586 W,95 W,192 W
1/21/2024 19:00,705 W,539 W,145 W,21 W
1/21/2024 20:00,225 W,105 W,100 W,20 W
1/21/2024 21:00,219 W,101 W,99 W,19 W
1/21/2024 22:00,227 W,105 W,100 W,22 W
1/21/2024 23:00,219 W,94 W,101 W,24 W
1/22/2024 0:00,217 W,89 W,102 W,26 W
1/22/2024 1:00,216 W,91 W,101 W,24 W
1/22/2024 2:00,223 W,98 W,101 W,24 W
1/22/2024 3:00,224 W,99 W,101 W,24 W
1/22/2024 4:00,223 W,98 W,101 W,24 W
1/22/2024 5:00,165 W,100 W,57 W,8 W
1/22/2024 6:00,160 W,97 W,57 W,6 W
1/22/2024 7:00,152 W,93 W,56 W,3 W
1/22/2024 8:00,351 W,112 W,63 W,176 W
1/22/2024 9:00,817 W,140 W,62 W,615 W
1/22/2024 10:00,"1,059 W",566 W,172 W,321 W
1/22/2024 11:00,"1,702 W",582 W,210 W,910 W
1/22/2024 12:00,"1,676 W",608 W,187 W,881 W
1/22/2024 13:00,"1,052 W",243 W,205 W,604 W
1/22/2024 14:00,"1,031 W",240 W,182 W,609 W
1/22/2024 15:00,"1,047 W",834 W,185 W,28 W
1/22/2024 16:00,"1,278 W",515 W,130 W,633 W
1/22/2024 17:00,838 W,556 W,75 W,207 W
1/22/2024 18:00,820 W,496 W,118 W,206 W
1/22/2024 19:00,"1,247 W",924 W,119 W,204 W
1/22/2024 20:00,470 W,111 W,116 W,243 W
1/22/2024 21:00,214 W,117 W,60 W,37 W
1/22/2024 22:00,209 W,111 W,60 W,38 W
1/22/2024 23:00,210 W,110 W,61 W,39 W
1/23/2024 0:00,207 W,105 W,61 W,41 W
1/23/2024 1:00,213 W,111 W,61 W,41 W
1/23/2024 2:00,216 W,112 W,61 W,43 W
1/23/2024 3:00,215 W,110 W,62 W,43 W
1/23/2024 4:00,210 W,107 W,61 W,42 W
1/23/2024 5:00,209 W,107 W,61 W,41 W
1/23/2024 6:00,150 W,112 W,16 W,22 W
1/23/2024 7:00,148 W,114 W,15 W,19 W
1/23/2024 8:00,474 W,107 W,71 W,296 W
1/23/2024 9:00,"1,442 W",138 W,95 W,"1,209 W"
1/23/2024 10:00,"1,118 W",280 W,131 W,707 W
1/23/2024 11:00,"1,294 W",598 W,132 W,564 W
1/23/2024 12:00,427 W,270 W,129 W,28 W
1/23/2024 13:00,"1,347 W",866 W,152 W,329 W
1/23/2024 14:00,704 W,200 W,150 W,354 W
1/23/2024 15:00,"1,061 W",191 W,867 W,3 W
1/23/2024 16:00,445 W,173 W,63 W,209 W
1/23/2024 17:00,826 W,544 W,64 W,218 W
1/23/2024 18:00,626 W,494 W,107 W,25 W
1/23/2024 19:00,843 W,482 W,158 W,203 W
1/23/2024 20:00,811 W,429 W,157 W,225 W
1/23/2024 21:00,285 W,111 W,155 W,19 W
1/23/2024 22:00,229 W,110 W,99 W,20 W
1/23/2024 23:00,221 W,102 W,99 W,20 W
1/24/2024 0:00,220 W,101 W,99 W,20 W
1/24/2024 1:00,215 W,96 W,99 W,20 W
1/24/2024 2:00,216 W,97 W,99 W,20 W
1/24/2024 3:00,216 W,96 W,100 W,20 W
1/24/2024 4:00,224 W,104 W,100 W,20 W
1/24/2024 5:00,223 W,104 W,99 W,20 W
1/24/2024 6:00,228 W,110 W,99 W,19 W
1/24/2024 7:00,168 W,113 W,54 W,1 W
1/24/2024 8:00,500 W,109 W,81 W,310 W
1/24/2024 9:00,557 W,154 W,79 W,324 W
1/24/2024 10:00,"1,047 W",582 W,134 W,331 W
1/24/2024 11:00,884 W,557 W,134 W,193 W
1/24/2024 12:00,632 W,197 W,130 W,305 W
1/24/2024 13:00,892 W,441 W,129 W,322 W
1/24/2024 14:00,"1,123 W",572 W,535 W,16 W
1/24/2024 15:00,"1,871 W","1,023 W",826 W,22 W
1/24/2024 16:00,705 W,543 W,122 W,40 W
1/24/2024 17:00,251 W,170 W,60 W,21 W
1/24/2024 18:00,607 W,476 W,112 W,19 W
1/24/2024 19:00,647 W,473 W,156 W,18 W
1/24/2024 20:00,483 W,120 W,157 W,206 W
1/24/2024 21:00,479 W,113 W,155 W,211 W
1/24/2024 22:00,151 W,84 W,48 W,19 W
1/24/2024 23:00,155 W,86 W,49 W,20 W
1/25/2024 0:00,156 W,87 W,48 W,21 W
1/25/2024 1:00,156 W,87 W,49 W,20 W
1/25/2024 2:00,154 W,85 W,49 W,20 W
1/25/2024 3:00,154 W,85 W,49 W,20 W
1/25/2024 4:00,157 W,88 W,49 W,20 W
1/25/2024 5:00,161 W,92 W,49 W,20 W
1/25/2024 6:00,115 W,91 W,5 W,19 W
1/25/2024 7:00,129 W,110 W,4 W,15 W
1/25/2024 8:00,576 W,162 W,117 W,297 W
1/25/2024 9:00,"1,322 W",160 W,120 W,"1,042 W"
1/25/2024 10:00,"2,736 W","1,241 W",155 W,"1,340 W"
1/25/2024 11:00,"2,493 W","1,346 W",136 W,"1,011 W"
1/25/2024 12:00,"1,742 W",232 W,905 W,605 W
1/25/2024 13:00,"1,185 W",577 W,134 W,474 W
1/25/2024 14:00,338 W,210 W,128 W,0 W
1/25/2024 15:00,"2,061 W",859 W,885 W,317 W
1/25/2024 16:00,596 W,489 W,72 W,35 W
1/25/2024 17:00,"1,047 W",958 W,74 W,15 W
1/25/2024 18:00,578 W,440 W,115 W,23 W
1/25/2024 19:00,585 W,462 W,116 W,7 W
1/25/2024 20:00,171 W,105 W,59 W,7 W
1/25/2024 21:00,156 W,93 W,58 W,5 W
1/25/2024 22:00,140 W,78 W,58 W,4 W
1/25/2024 23:00,152 W,86 W,60 W,6 W
1/26/2024 0:00,151 W,85 W,60 W,6 W
1/26/2024 1:00,150 W,85 W,60 W,5 W
1/26/2024 2:00,143 W,79 W,60 W,4 W
1/26/2024 3:00,164 W,99 W,60 W,5 W
1/26/2024 4:00,157 W,91 W,61 W,5 W
1/26/2024 5:00,153 W,88 W,60 W,5 W
1/26/2024 6:00,106 W,98 W,16 W,-8 W
1/26/2024 7:00,103 W,98 W,15 W,-10 W
1/26/2024 8:00,152 W,99 W,64 W,-11 W
1/26/2024 9:00,182 W,130 W,63 W,-11 W
1/26/2024 10:00,622 W,537 W,85 W,0 W
1/26/2024 11:00,"1,196 W",611 W,183 W,402 W
1/26/2024 12:00,"1,121 W",514 W,200 W,407 W
1/26/2024 13:00,536 W,246 W,196 W,94 W
1/26/2024 14:00,588 W,269 W,197 W,122 W
1/26/2024 15:00,"1,179 W",435 W,361 W,383 W
1/26/2024 16:00,"1,861 W",843 W,396 W,622 W
1/26/2024 17:00,565 W,490 W,67 W,8 W
1/26/2024 18:00,566 W,448 W,109 W,9 W
1/26/2024 19:00,568 W,451 W,109 W,8 W
1/26/2024 20:00,151 W,83 W,58 W,10 W
1/26/2024 21:00,140 W,74 W,58 W,8 W
1/26/2024 22:00,131 W,63 W,59 W,9 W
1/26/2024 23:00,127 W,60 W,59 W,8 W
1/27/2024 0:00,129 W,60 W,60 W,9 W
1/27/2024 1:00,122 W,55 W,60 W,7 W
1/27/2024 2:00,134 W,65 W,61 W,8 W
1/27/2024 3:00,124 W,58 W,60 W,6 W
1/27/2024 4:00,131 W,63 W,61 W,7 W
1/27/2024 5:00,75 W,64 W,16 W,-5 W
1/27/2024 6:00,89 W,77 W,17 W,-5 W
1/27/2024 7:00,79 W,71 W,15 W,-7 W
1/27/2024 8:00,95 W,88 W,14 W,-7 W
1/27/2024 9:00,101 W,96 W,13 W,-8 W
1/27/2024 10:00,90 W,86 W,13 W,-9 W
1/27/2024 11:00,87 W,80 W,14 W,-7 W
1/27/2024 16:00,182 W,173 W,16 W,-7 W
1/27/2024 17:00,167 W,158 W,16 W,-7 W
1/27/2024 18:00,128 W,121 W,14 W,-7 W
1/27/2024 19:00,161 W,97 W,58 W,6 W
1/27/2024 20:00,154 W,90 W,58 W,6 W
1/27/2024 21:00,155 W,89 W,58 W,8 W
1/27/2024 22:00,152 W,85 W,59 W,8 W
1/27/2024 23:00,143 W,76 W,59 W,8 W
1/28/2024 0:00,130 W,64 W,59 W,7 W
1/28/2024 1:00,128 W,61 W,60 W,7 W
1/28/2024 2:00,130 W,63 W,60 W,7 W
1/28/2024 3:00,130 W,63 W,60 W,7 W
1/28/2024 4:00,134 W,66 W,60 W,8 W
1/28/2024 5:00,83 W,73 W,16 W,-6 W
1/28/2024 6:00,97 W,88 W,15 W,-6 W
1/28/2024 7:00,89 W,83 W,15 W,-9 W
1/28/2024 8:00,535 W,434 W,127 W,-26 W
1/28/2024 9:00,"1,763 W",997 W,154 W,612 W
1/28/2024 10:00,"1,131 W",946 W,185 W,0 W
1/28/2024 11:00,602 W,464 W,131 W,7 W
1/28/2024 12:00,"1,203 W",538 W,135 W,530 W
1/28/2024 13:00,829 W,533 W,133 W,163 W
1/28/2024 14:00,628 W,179 W,132 W,317 W
1/28/2024 15:00,"1,518 W",619 W,867 W,32 W
1/28/2024 16:00,"1,413 W",496 W,905 W,12 W
1/28/2024 17:00,"1,582 W",537 W,"1,032 W",13 W
1/28/2024 18:00,953 W,463 W,176 W,314 W
1/28/2024 19:00,541 W,422 W,115 W,4 W
1/28/2024 20:00,162 W,99 W,57 W,6 W
1/28/2024 21:00,166 W,98 W,58 W,10 W
1/28/2024 22:00,175 W,103 W,60 W,12 W
1/28/2024 23:00,162 W,90 W,60 W,12 W
1/29/2024 0:00,172 W,99 W,61 W,12 W
1/29/2024 1:00,171 W,97 W,61 W,13 W
1/29/2024 2:00,166 W,91 W,61 W,14 W
1/29/2024 3:00,169 W,96 W,60 W,13 W
1/29/2024 4:00,165 W,91 W,61 W,13 W
1/29/2024 5:00,167 W,95 W,60 W,12 W
1/29/2024 6:00,130 W,102 W,16 W,12 W
1/29/2024 7:00,114 W,105 W,15 W,-6 W
1/29/2024 8:00,119 W,106 W,13 W,0 W
1/29/2024 9:00,217 W,194 W,14 W,9 W
1/29/2024 10:00,994 W,472 W,73 W,449 W
1/29/2024 11:00,"1,701 W",430 W,"1,144 W",127 W
1/29/2024 12:00,"1,834 W",554 W,818 W,462 W
1/29/2024 13:00,"1,067 W",536 W,74 W,457 W
1/29/2024 14:00,646 W,554 W,92 W,0 W
1/29/2024 15:00,852 W,451 W,93 W,308 W
1/29/2024 16:00,740 W,523 W,195 W,22 W
1/29/2024 17:00,697 W,546 W,151 W,0 W
1/29/2024 18:00,270 W,135 W,149 W,-14 W
1/29/2024 19:00,620 W,494 W,117 W,9 W
1/29/2024 20:00,255 W,135 W,115 W,5 W
1/29/2024 21:00,273 W,147 W,118 W,8 W
1/29/2024 22:00,273 W,143 W,118 W,12 W
1/29/2024 23:00,191 W,119 W,59 W,13 W
1/30/2024 0:00,199 W,124 W,61 W,14 W
1/30/2024 1:00,196 W,123 W,60 W,13 W
1/30/2024 2:00,205 W,131 W,61 W,13 W
1/30/2024 3:00,199 W,123 W,61 W,15 W
1/30/2024 4:00,209 W,135 W,61 W,13 W
1/30/2024 5:00,148 W,132 W,17 W,-1 W
1/30/2024 6:00,460 W,445 W,17 W,-2 W
1/30/2024 7:00,183 W,138 W,50 W,-5 W
1/30/2024 8:00,636 W,153 W,108 W,375 W
1/30/2024 9:00,"1,492 W",211 W,112 W,"1,169 W"
1/30/2024 10:00,"1,105 W",360 W,745 W,0 W
1/30/2024 11:00,"1,865 W","1,047 W",823 W,-5 W
1/30/2024 12:00,"1,477 W",467 W,897 W,113 W
1/30/2024 13:00,"2,037 W",823 W,798 W,416 W
1/30/2024 14:00,927 W,501 W,418 W,8 W
1/30/2024 15:00,"1,467 W","1,001 W",458 W,8 W
1/30/2024 16:00,624 W,552 W,64 W,8 W
1/30/2024 17:00,596 W,524 W,64 W,8 W
1/30/2024 18:00,272 W,150 W,105 W,17 W
1/31/2024 7:00,915 W,490 W,122 W,303 W
1/31/2024 8:00,562 W,167 W,118 W,277 W
1/31/2024 9:00,894 W,485 W,119 W,290 W
1/31/2024 10:00,850 W,421 W,121 W,308 W
1/31/2024 11:00,"1,956 W",958 W,155 W,843 W
1/31/2024 12:00,"1,599 W",548 W,198 W,853 W
1/31/2024 13:00,"1,340 W",628 W,154 W,558 W
1/31/2024 14:00,"2,032 W",964 W,154 W,914 W
1/31/2024 15:00,769 W,608 W,131 W,30 W
1/31/2024 16:00,881 W,523 W,151 W,207 W
1/31/2024 17:00,"1,467 W",507 W,949 W,11 W
1/31/2024 18:00,603 W,485 W,107 W,11 W
1/31/2024 19:00,572 W,457 W,106 W,9 W
1/31/2024 20:00,174 W,117 W,47 W,10 W
1/31/2024 21:00,169 W,112 W,48 W,9 W
1/31/2024 22:00,171 W,111 W,48 W,12 W
1/31/2024 23:00,163 W,101 W,48 W,14 W
